TR_PL,HH07,HH08,HH09,HH10,HH15,HV07,HV08,HV09,HV10,HV15,T_HA_50x50
transect2-plot5-G,-6.02707,-6.9896636,-6.8689876,-7.546248,-7.8253045,-11.728091,-11.451942,-11.29649,-11.884039,-11.0496645,306.961931
transect3-plot5-F,-7.2829165,-6.57092,-6.578388,-6.18847,-7.5077863,-11.447324,-11.999558,-11.954552,-12.699867,-13.468594,393.48904
transect3-plot5-F,-7.2029076,-6.773364,-6.669137,-7.3403664,-7.9785976,-11.594912,-11.685985,-11.989816,-12.739713,-12.8367605,393.48904
transect3-plot5-F,-7.291986,-7.0072117,-6.6358857,-7.1986456,-6.034601,-11.557971,-11.626968,-11.81792,-12.190158,-12.189293,393.48904
transect3-plot5-F,-7.1489606,-6.9640026,-6.4119196,-7.479241,-6.8385253,-11.729768,-11.127915,-12.573127,-12.169582,-12.327597,393.48904
transect3-plot5-E,-7.5544276,-7.217307,-7.2533617,-6.6513615,-6.747315,-13.526521,-12.046815,-11.010949,-11.999646,-12.722825,147.926949
transect3-plot5-E,-8.05689,-6.9662976,-6.9558997,-7.7955656,-6.7492824,-13.641112,-11.77518,-11.296208,-12.505386,-13.926476,147.926949
transect3-plot5-D,-6.3198566,-7.222729,-6.7320457,-6.6930537,-6.9655924,-11.803987,-11.662332,-11.83952,-11.818365,-12.607189,590.851671
transect3-plot5-D,-6.4769626,-7.5642242,-7.437369,-6.046119,-6.715497,-11.466182,-11.797624,-10.538361,-11.71452,-12.402092,590.851671
transect3-plot5-D,-6.1068974,-7.0577235,-7.142052,-6.974189,-5.8494077,-10.172655,-11.56533,-11.867315,-13.015458,-11.8783865,590.851671
transect3-plot5-D,-6.65139,-6.1071053,-6.5921507,-5.6473274,-7.260298,-11.029549,-11.686314,-12.329109,-12.692421,-12.041891,590.851671
transect3-plot5-G,-6.7798824,-7.0165052,-7.2762,-7.1385674,-6.5041513,-11.335741,-12.342728,-11.90953,-12.011368,-12.407208,168.832344
transect3-plot5-G,-6.9961543,-7.5407925,-7.2908506,-7.4360456,-6.059409,-11.619975,-11.942664,-11.807935,-11.949954,-12.00007,168.832344
transect1-plot5-G,-8.994891,-8.723442,-8.352773,-10.642263,-9.543358,-12.27693,-13.619137,-13.200576,-13.834459,-14.266578,151.025264
transect1-plot5-G,-6.8118844,-8.25122,-7.728428,-8.698311,-10.617539,-11.969519,-11.367207,-10.970439,-13.4876795,-13.75525,151.025264
transect1-plot5-G,-8.235491,-8.289869,-8.386017,-9.985349,-9.815581,-11.701622,-13.694761,-13.768438,-13.5207615,-13.7700205,151.025264
transect1-plot5-G,-6.890026,-6.7513,-8.309039,-7.2557154,-8.038407,-11.766134,-11.266771,-10.787247,-13.091315,-13.852684,151.025264
transect1-plot5-F,-7.085852,-6.712165,-6.0302305,-7.3127766,-7.5100255,-12.02537,-9.97619,-9.079647,-11.560003,-12.034757,90.1906387
transect1-plot5-F,-6.5952682,-5.940105,-6.4119954,-6.862359,-7.2979307,-11.13758,-10.174569,-10.3879595,-11.463817,-12.316872,90.1906387
transect1-plot5-F,-7.424576,-7.4938846,-6.05361,-8.053062,-7.5658073,-12.081228,-11.4296,-10.933832,-11.565657,-11.924979,90.1906387
transect1-plot5-F,-7.0365157,-7.5002837,-5.1357017,-7.845328,-7.713432,-11.592014,-11.260797,-9.92396,-11.803748,-11.0668335,90.1906387
transect1-plot5-E,-6.123718,-5.262388,-6.9065795,-8.515305,-9.819414,-11.78087,-10.432874,-10.631714,-12.528762,-11.663386,172.539681
transect1-plot5-E,-5.3894277,-6.0955343,-6.410187,-6.0186415,-7.3050194,-11.610265,-11.020082,-10.817465,-12.251542,-9.732823,172.539681
transect1-plot5-D,-9.335128,-9.102895,-9.145273,-7.8398504,-9.743419,-13.2862015,-13.59521,-14.259772,-14.141275,-14.216238,166.391176
transect1-plot5-D,-7.243154,-6.4389787,-7.4743137,-8.747812,-10.013828,-13.019301,-10.523011,-11.015074,-13.857948,-14.209693,166.391176
